日期,地区,品类,销售额,订单量,毛利率
2025-08-16,西南,食品,2831.32,266,0.1584
2025-02-19,华北,数码,9883.09,173,0.3308
2025-01-01,华东,美妆,2114.92,36,0.1298
2025-03-19,华南,数码,14636.55,94,0.1654
2025-02-12,华东,家电,8641.17,167,0.2646
2025-02-27,华南,数码,6116.03,289,0.1575
2025-01-09,华北,服饰,4685.97,244,0.4169
2025-06-02,华南,服饰,3701.19,58,0.4314
2025-01-13,西南,服饰,7840.58,166,0.2596
2025-06-14,华南,数码,4055.93,212,0.1731
2025-01-14,华北,数码,11893.29,115,0.1426
2025-05-16,华东,食品,2783.6,72,0.3629
2025-05-03,华南,数码,4571.36,240,0.2681
2025-04-06,西南,美妆,1408.45,90,0.3555
2025-03-13,华南,数码,8543.1,165,0.2032
2025-08-24,西南,数码,9980.26,153,0.2391
2025-08-11,西南,家电,19238.54,229,0.2395
2025-01-09,华北,服饰,5455.49,128,0.4265
2025-07-24,华南,食品,2874.21,217,0.2047
2025-01-22,华南,数码,10634.86,178,0.1941
2025-05-14,西南,食品,1930.03,35,0.3826
2025-07-17,西南,美妆,4311.24,160,0.2513
2025-06-08,西南,服饰,7757.81,218,0.2092
2025-07-10,华北,数码,4571.4,101,0.1542
2025-03-01,华南,食品,4123.94,252,0.2868
2025-05-31,华北,美妆,3796.0,97,0.1221
2025-01-07,华北,食品,1159.7,276,0.3714
2025-01-19,华东,食品,3757.78,133,0.1859
2025-05-19,华北,食品,3616.29,157,0.2265
2025-04-06,华南,服饰,5635.83,93,0.1857
2025-02-15,华北,家电,12682.04,230,0.1344
2025-07-30,华北,服饰,5205.45,176,0.3488
2025-03-09,华北,服饰,3251.86,140,0.1539
2025-07-21,西南,家电,23252.07,299,0.3637
2025-03-22,华南,家电,14818.8,190,0.164
2025-08-21,华北,食品,4069.76,181,0.3474
2025-07-27,华东,美妆,1425.89,203,0.4263
2025-06-19,华东,食品,2845.14,277,0.3085
2025-01-28,华东,数码,9081.91,256,0.18
2025-01-09,华北,美妆,2005.02,50,0.1956
2025-06-09,西南,服饰,5833.61,110,0.1981
2025-02-25,华北,数码,15950.17,66,0.3387
2025-03-29,华东,食品,1666.24,64,0.3875
2025-04-28,西南,家电,6519.04,288,0.1691
2025-07-12,西南,服饰,6268.99,96,0.3969
2025-05-26,华东,数码,8592.29,154,0.1912
2025-04-03,华南,食品,1397.9,45,0.2158
2025-02-17,华南,美妆,3571.32,188,0.4013
2025-04-08,华东,家电,7239.74,234,0.17
2025-01-11,华东,数码,5324.93,75,0.2021
2025-03-09,华南,家电,7400.6,58,0.1785
2025-07-22,华北,家电,17376.71,22,0.2291
2025-08-20,西南,美妆,5621.43,113,0.4449
2025-03-01,西南,数码,10463.62,57,0.4168
2025-07-10,西南,食品,1962.78,264,0.384
2025-06-18,西南,家电,13556.11,209,0.1816
2025-01-28,西南,数码,10021.37,199,0.194
2025-03-07,华南,数码,4692.45,109,0.1626
2025-04-18,华北,美妆,2052.54,196,0.3511
2025-07-14,华北,食品,3991.56,47,0.3895
2025-07-21,华北,家电,9000.8,58,0.1817
2025-07-19,华南,数码,13698.87,233,0.3425
2025-03-10,西南,食品,3405.79,185,0.4052
2025-06-19,华东,家电,15074.64,63,0.3405
2025-02-07,西南,服饰,4213.34,70,0.4327
2025-05-16,华北,服饰,5566.66,250,0.2067
2025-04-17,华南,美妆,2739.7,270,0.15
2025-03-30,华北,食品,1228.59,259,0.3852
2025-01-24,华东,食品,1804.33,45,0.3039
2025-08-15,华南,家电,13140.38,252,0.4268
2025-08-27,华东,服饰,4432.01,219,0.2221
2025-05-04,华北,美妆,4062.15,106,0.1658
2025-08-15,华南,美妆,5828.82,197,0.4379
2025-04-24,华南,服饰,5930.03,128,0.4293
2025-02-19,西南,服饰,5031.88,121,0.4498
2025-01-20,西南,服饰,6656.7,243,0.32
2025-01-26,华北,家电,8052.27,189,0.2991
2025-03-12,华东,美妆,3416.91,146,0.3535
2025-01-30,华东,美妆,1840.17,212,0.2509
2025-07-18,华南,服饰,5771.67,111,0.2863
2025-03-30,华北,服饰,3948.7,122,0.3814
2025-07-14,华东,美妆,3095.26,175,0.4137
2025-08-17,华南,美妆,4127.4,147,0.2148
2025-07-14,华南,数码,12069.13,72,0.2531
2025-05-28,华东,服饰,7126.5,288,0.1411
2025-05-18,华南,家电,20560.84,270,0.1669
2025-04-24,华东,数码,5063.36,265,0.1889
2025-01-21,华南,美妆,2315.63,173,0.2874
2025-08-21,华南,家电,12373.95,157,0.2755
2025-03-13,西南,家电,12990.25,178,0.3044
2025-02-17,西南,服饰,6048.26,297,0.1318
2025-02-08,华南,服饰,6503.87,56,0.3468
2025-07-01,华北,数码,7710.21,180,0.3294
2025-08-18,华南,数码,8302.24,263,0.2236
2025-08-12,华南,食品,2476.08,137,0.2674
2025-07-01,华南,食品,4101.7,93,0.2244
2025-03-30,华北,美妆,4206.28,178,0.2514
2025-03-26,西南,数码,13292.7,242,0.2106
2025-08-22,华北,数码,9772.01,241,0.4026
2025-07-16,西南,家电,11160.43,193,0.1556
2025-07-09,华南,服饰,7093.54,238,0.3637
2025-05-04,华南,服饰,3879.61,105,0.2634
2025-08-13,西南,美妆,2718.28,154,0.1932
2025-04-25,西南,食品,1444.84,183,0.4217
2025-05-21,华南,家电,10791.6,68,0.1204
2025-01-25,华北,食品,1844.65,161,0.3727
2025-07-20,华南,数码,15680.76,233,0.4357
2025-05-07,华东,食品,2933.97,244,0.3832
2025-08-13,华东,美妆,1894.33,225,0.3226
2025-02-25,华北,食品,1832.78,205,0.1528
2025-03-18,华南,食品,2850.73,243,0.1503
2025-08-16,华南,食品,4038.51,144,0.37
2025-02-02,华南,服饰,4335.23,25,0.2905
2025-05-03,西南,数码,13835.12,146,0.3553
2025-01-01,华北,家电,11801.01,121,0.3563
2025-08-26,西南,美妆,1966.41,288,0.3724
2025-04-23,西南,家电,20434.22,143,0.4003
2025-03-15,华北,美妆,3956.98,244,0.1344
2025-05-11,华北,食品,2241.77,241,0.2505
2025-07-29,华南,数码,5616.08,269,0.434
2025-03-07,华北,美妆,4230.88,56,0.251
2025-05-15,西南,美妆,2968.32,157,0.3758
2025-01-24,华东,食品,1548.68,291,0.446
2025-08-28,华东,数码,12536.05,263,0.2742
2025-04-19,西南,美妆,1697.16,21,0.3695
2025-01-22,西南,家电,17942.34,227,0.3008
2025-08-25,西南,食品,3810.0,166,0.273
2025-05-06,华北,服饰,3117.34,265,0.2237
2025-02-25,华南,美妆,5769.11,51,0.2514
2025-07-23,华南,家电,23948.53,24,0.1579
2025-07-17,华北,数码,9233.37,278,0.4109
2025-01-02,西南,服饰,2928.19,192,0.1537
2025-08-25,华南,服饰,5920.2,158,0.4129
2025-04-11,华北,家电,5773.15,139,0.1373
2025-03-12,西南,美妆,3007.91,206,0.243
2025-06-29,西南,食品,1708.09,117,0.2332
2025-08-23,西南,食品,1552.07,269,0.219
2025-07-11,西南,美妆,3523.87,214,0.3771
2025-06-27,西南,服饰,3728.77,258,0.2197
2025-02-16,华南,数码,15055.32,71,0.2936
2025-04-02,华东,家电,14786.52,257,0.1873
2025-05-05,西南,美妆,4490.76,74,0.1647
2025-02-13,西南,食品,3016.34,253,0.3019
2025-08-05,华东,家电,14338.17,78,0.2789
2025-01-18,华东,服饰,6965.1,99,0.4255
2025-05-17,华南,服饰,4231.49,89,0.4377
2025-08-07,华北,美妆,4683.52,105,0.359
2025-08-12,华南,美妆,2960.89,124,0.2564
2025-05-14,华东,服饰,7992.01,89,0.1844
2025-01-28,华南,食品,2128.78,187,0.2314
2025-06-04,华南,家电,6309.48,202,0.2508
2025-02-09,华南,美妆,5084.08,244,0.161
2025-07-11,华东,家电,15566.45,77,0.4129
2025-06-10,华东,数码,3896.52,30,0.2937
2025-05-10,华东,数码,10906.75,104,0.4269
2025-06-30,华南,食品,3695.13,47,0.4059
2025-02-28,西南,食品,2569.42,251,0.2863
2025-01-29,华东,数码,11794.57,30,0.325
2025-05-01,西南,服饰,1905.8,163,0.4168
2025-07-22,华北,数码,6438.29,46,0.3753
2025-03-20,华北,食品,3060.47,52,0.1566
2025-04-14,华北,数码,5705.34,248,0.3687
2025-03-21,华南,数码,11828.09,219,0.4082
2025-08-09,华南,数码,12943.81,137,0.4297
2025-01-21,华东,美妆,4343.28,206,0.2623
2025-01-04,华南,家电,18658.57,254,0.1671
2025-06-20,西南,家电,18323.79,152,0.2255
2025-04-16,华北,食品,1608.02,232,0.3516
2025-05-02,西南,服饰,2477.16,250,0.2819
2025-05-14,西南,美妆,3991.89,229,0.3459
2025-08-06,西南,家电,17498.79,31,0.2004
2025-08-14,华东,家电,8457.96,224,0.2365
2025-06-25,西南,数码,9421.58,210,0.2813
2025-02-01,华北,美妆,6055.15,295,0.3756
2025-02-27,华北,数码,6566.86,185,0.1252
2025-05-23,华北,食品,2992.07,131,0.1486
2025-01-20,华南,家电,17315.78,39,0.1558
2025-06-16,华北,食品,3234.62,164,0.2181
2025-08-16,华东,服饰,2473.65,57,0.286
2025-04-28,华北,美妆,4086.16,156,0.3823
2025-02-06,华南,数码,12186.24,233,0.3201
2025-01-14,华东,服饰,2641.85,277,0.4234
2025-08-22,华南,食品,1467.98,87,0.4432
2025-04-21,华东,美妆,1386.31,145,0.3644
2025-05-12,华东,服饰,4404.87,108,0.3885
2025-03-10,华南,美妆,1461.21,178,0.2724
2025-07-05,华北,家电,14833.86,83,0.241
2025-01-30,华南,家电,13134.14,103,0.4384
2025-08-04,西南,家电,16163.71,196,0.2807
2025-04-09,华北,食品,3877.25,299,0.2369
2025-05-22,华东,服饰,7186.31,87,0.2776
2025-06-03,华东,家电,8795.5,258,0.2236
2025-04-10,华南,服饰,3028.81,222,0.3901
2025-02-20,华东,家电,13741.68,171,0.4476
2025-06-08,西南,美妆,2459.89,101,0.153
2025-07-24,西南,家电,17093.62,40,0.3452
2025-07-26,华南,数码,4173.68,111,0.3821
2025-04-15,华北,数码,12586.72,177,0.1727
2025-04-24,华南,数码,8135.02,46,0.2086
2025-03-12,华南,食品,2372.22,46,0.3804
2025-05-08,华东,美妆,6136.48,189,0.4387
2025-07-23,西南,数码,6488.72,189,0.2293
2025-01-16,华南,数码,11700.14,155,0.1581
2025-05-07,华东,食品,2337.28,175,0.1999
2025-08-12,西南,家电,13541.62,149,0.4462
2025-05-27,华北,家电,16522.84,53,0.2224
2025-05-26,西南,服饰,4114.89,261,0.435
2025-07-19,华北,数码,12859.51,124,0.3687
2025-02-11,西南,服饰,6262.25,38,0.2701
2025-02-02,华北,数码,7486.62,270,0.3032
2025-03-08,西南,食品,2015.65,30,0.4388
2025-06-23,华南,服饰,5425.38,136,0.1643
2025-02-02,华北,食品,3081.25,249,0.3817
2025-03-23,西南,服饰,1861.86,166,0.2378
2025-05-01,华北,食品,3927.34,103,0.3061
2025-06-28,西南,美妆,2183.87,164,0.2185
2025-06-11,华南,家电,24406.94,269,0.3342
2025-06-28,华南,服饰,2532.55,49,0.3858
2025-05-05,华南,食品,3490.17,148,0.4316
2025-07-07,华南,美妆,6089.44,229,0.2175
2025-02-14,华北,美妆,2959.82,55,0.2112
2025-04-21,西南,食品,1367.89,48,0.1662
2025-04-04,华南,食品,1219.3,278,0.2709
2025-08-05,华南,家电,7092.19,205,0.3187
2025-03-22,华南,美妆,2397.28,257,0.4437
2025-01-15,华东,数码,7451.24,57,0.2974
2025-05-12,华北,服饰,4249.39,78,0.2066
2025-01-22,西南,家电,11878.17,63,0.2136
2025-01-25,西南,家电,8741.16,166,0.1974
2025-04-17,华东,数码,10726.36,294,0.1695
2025-02-19,西南,美妆,4788.86,93,0.1966
2025-03-14,华南,服饰,2496.76,194,0.4327
2025-04-23,华北,食品,1386.72,189,0.3334
2025-01-16,华东,美妆,2422.18,127,0.3568
2025-07-22,华南,食品,3511.83,57,0.3787
2025-03-17,华北,美妆,2345.72,46,0.3316
2025-03-07,华东,食品,891.42,180,0.31
2025-06-05,华北,家电,10454.51,210,0.3465
2025-01-26,西南,数码,7073.74,219,0.4186
2025-04-30,华东,家电,8383.39,189,0.3067
2025-03-28,华南,服饰,2803.28,33,0.3628
2025-08-13,华东,家电,10259.51,66,0.3917
2025-01-25,华南,服饰,5647.18,90,0.1698
2025-04-07,华北,食品,4111.94,192,0.2874
2025-04-02,华北,服饰,3976.21,183,0.1998
2025-02-23,西南,数码,12009.78,133,0.3337
2025-07-31,华北,服饰,7549.76,248,0.2384
2025-03-31,华南,家电,7247.68,197,0.4327
2025-02-21,华东,服饰,5185.66,206,0.3617
2025-01-10,华南,数码,10749.31,268,0.1907
2025-05-19,华南,服饰,4119.11,268,0.3801
2025-01-02,西南,数码,8893.39,155,0.3864
2025-04-12,西南,食品,1707.07,39,0.1231
2025-02-07,华东,家电,6948.0,260,0.2161
2025-07-03,华南,服饰,3071.01,277,0.3143
2025-07-17,华北,食品,859.59,241,0.3968
2025-07-26,西南,食品,2096.05,80,0.2965
2025-02-28,华东,美妆,2274.9,51,0.4495
2025-07-09,华东,数码,3485.5,107,0.2285
2025-01-10,华北,美妆,3185.14,262,0.3865
2025-08-03,华南,食品,2554.33,43,0.1332
2025-03-06,华东,数码,7854.35,268,0.3203
2025-05-17,华南,美妆,3372.63,91,0.379
2025-04-25,华南,服饰,3529.57,94,0.1254
2025-06-26,华东,数码,7591.02,108,0.3184
2025-04-11,西南,服饰,4870.72,90,0.1217
2025-04-26,西南,服饰,3211.42,137,0.2453
2025-05-16,华东,食品,2762.29,141,0.1893
2025-03-25,华南,数码,9827.4,240,0.3188
2025-01-29,华北,家电,11379.42,131,0.2735
2025-03-24,华南,服饰,3044.36,243,0.4135
2025-05-09,华北,食品,2268.62,276,0.1697
2025-05-25,华北,食品,1503.15,142,0.2833
2025-02-06,西南,食品,1013.72,97,0.1692
2025-05-19,华东,数码,5790.91,28,0.161
2025-03-08,华东,家电,14716.04,288,0.146
2025-04-26,西南,食品,2527.88,106,0.1662
2025-01-16,华北,服饰,5322.35,46,0.1505
2025-05-28,华南,家电,13571.34,80,0.3746
2025-06-05,华东,美妆,3217.98,31,0.4491
2025-02-09,华北,服饰,5353.71,50,0.1748
2025-06-21,华东,服饰,7487.5,230,0.2072
2025-04-09,华南,美妆,2880.06,162,0.3042
2025-07-25,西南,数码,6020.48,184,0.2896
2025-02-14,西南,服饰,7886.81,21,0.2133
2025-06-23,华北,食品,3365.42,48,0.29
2025-07-26,华东,美妆,5409.96,228,0.2481
2025-03-02,华东,数码,10938.69,240,0.269
2025-03-19,华东,数码,3567.99,96,0.3011
2025-06-20,华北,家电,15820.19,41,0.2597
2025-01-16,西南,服饰,2563.64,86,0.3302
2025-01-26,华东,美妆,2535.96,200,0.2185
2025-08-20,华南,食品,1340.83,47,0.2935
2025-07-07,华南,数码,13985.73,121,0.321
2025-04-05,华北,服饰,4145.25,217,0.2864
2025-03-29,华南,服饰,6543.05,173,0.4009
2025-04-05,华南,食品,2244.15,46,0.3082
2025-02-16,西南,数码,13240.43,99,0.1447
2025-04-27,华东,数码,7045.55,54,0.3534
2025-01-04,华南,美妆,2709.97,48,0.1956
2025-05-09,华北,服饰,4165.1,125,0.292
2025-05-30,西南,家电,12673.13,183,0.2095
2025-06-04,华东,服饰,2849.94,35,0.4342
2025-02-20,华南,数码,16296.22,160,0.1227
2025-01-01,西南,家电,14958.81,23,0.3704
2025-07-27,西南,食品,1723.2,262,0.1716
2025-01-23,华北,数码,5152.72,57,0.2703
2025-05-24,华南,家电,8385.65,147,0.3026
2025-07-28,西南,美妆,3090.05,176,0.1893
2025-07-13,华北,数码,13587.1,143,0.2292
2025-02-18,华东,数码,9906.4,34,0.1352
2025-01-06,华东,数码,12753.26,194,0.1568
2025-08-26,西南,食品,1219.77,84,0.3602
2025-06-21,华北,美妆,3224.0,74,0.3057
2025-07-12,华东,数码,9087.64,278,0.4001
2025-03-17,华南,美妆,4372.18,165,0.1477
2025-03-18,华北,食品,2805.03,232,0.1376
2025-05-30,华东,食品,1356.09,164,0.3753
2025-02-13,西南,数码,3655.21,101,0.2225
2025-05-17,华北,数码,11418.09,295,0.1756
2025-08-02,华东,食品,1654.14,142,0.3998
2025-07-02,西南,服饰,2625.47,101,0.2816
2025-04-04,华南,家电,20590.4,283,0.274
2025-08-10,西南,家电,17167.73,165,0.3174
2025-02-10,华东,服饰,4247.01,260,0.2913
2025-04-13,西南,服饰,4876.2,192,0.381
2025-06-16,华东,数码,9299.11,98,0.138
2025-05-23,华东,美妆,4640.34,199,0.3584
2025-03-13,华南,家电,13985.74,236,0.2878
2025-07-01,华东,食品,2815.63,215,0.2948
2025-03-10,华东,数码,9010.1,59,0.3327
2025-07-30,华北,美妆,4267.38,239,0.1757
2025-02-24,西南,服饰,6309.51,99,0.4122
2025-05-12,华南,美妆,3231.41,180,0.1589
2025-07-05,华东,食品,3770.87,293,0.3256
2025-03-01,华南,美妆,1766.73,160,0.326
2025-03-16,华南,食品,2847.78,208,0.3438
2025-04-12,华东,家电,10641.15,38,0.4491
2025-04-02,华南,服饰,5188.01,172,0.2697
2025-01-27,西南,美妆,3753.01,269,0.1924
2025-05-25,华东,服饰,5827.95,218,0.4041
2025-02-26,华北,数码,10735.59,130,0.3883
2025-03-28,西南,美妆,2557.86,154,0.3757
2025-03-08,华南,服饰,2679.35,59,0.2885
2025-06-24,华东,家电,7656.04,49,0.2023
2025-07-27,华北,家电,20296.77,93,0.2184
2025-07-09,华东,数码,11398.25,253,0.4463
2025-01-28,西南,服饰,6797.02,149,0.3955
2025-07-11,华北,服饰,3994.42,241,0.3384
2025-03-13,华北,服饰,2060.24,199,0.2224
2025-04-23,华南,家电,15784.59,231,0.4394
2025-06-06,西南,数码,6609.15,222,0.2837
2025-03-19,华南,食品,2388.32,260,0.268
2025-04-25,华东,食品,2870.92,223,0.422
2025-03-02,华北,食品,2163.41,224,0.2573
2025-04-08,华北,食品,2650.44,51,0.3529
2025-04-18,华东,数码,16394.2,36,0.2147
2025-05-09,华东,食品,1462.6,63,0.1583
2025-06-10,华东,服饰,5757.1,86,0.2325
2025-08-15,西南,美妆,1939.03,55,0.4233
2025-05-29,华东,数码,10990.81,145,0.1352
2025-08-07,华东,服饰,5886.86,249,0.3202
2025-05-06,华南,食品,1656.68,299,0.1794
2025-05-30,华东,美妆,2510.86,111,0.1937
2025-06-11,华北,美妆,4835.62,134,0.3396
2025-04-17,华东,美妆,3728.66,59,0.4227
2025-08-08,华东,数码,7020.09,96,0.3198
2025-02-11,华南,服饰,4233.18,283,0.3922
2025-06-08,华北,美妆,5289.89,203,0.2783
2025-06-12,西南,美妆,1870.24,133,0.3311
2025-06-09,华北,美妆,5978.43,297,0.222
2025-02-01,华东,服饰,5596.81,257,0.3081
2025-06-30,华北,服饰,4592.6,201,0.1937
2025-07-23,华北,家电,12003.24,232,0.2992
2025-02-08,华南,美妆,3466.82,237,0.1579
2025-05-03,华东,服饰,2381.66,219,0.2245
2025-01-17,华东,服饰,3311.76,203,0.1893
2025-08-02,华北,美妆,1740.33,111,0.3069
2025-03-30,西南,美妆,3567.42,57,0.1614
2025-02-06,华北,数码,7619.64,78,0.3913
2025-01-14,华东,家电,10454.06,40,0.3244
2025-08-01,华北,服饰,4942.27,58,0.4144
2025-06-12,华东,食品,1160.82,141,0.2344
2025-06-03,华东,美妆,2462.72,251,0.2217
2025-06-21,西南,美妆,3293.71,108,0.2109
2025-01-07,华北,美妆,4435.85,185,0.2812
2025-04-01,华东,美妆,3399.87,107,0.3374
2025-02-14,华南,美妆,4325.96,96,0.2674
2025-08-23,华东,食品,1068.73,50,0.1911
2025-08-14,华北,美妆,1836.84,204,0.199
2025-01-11,华东,数码,12481.43,236,0.2557
2025-04-30,华东,美妆,4321.99,128,0.4174
2025-05-13,华北,美妆,2473.39,91,0.1817
2025-03-03,华北,家电,13808.32,75,0.2355
2025-05-18,华南,食品,1679.13,67,0.2529
2025-03-11,西南,食品,2132.53,250,0.42
2025-06-02,西南,服饰,3726.38,68,0.2868
2025-07-06,华北,数码,6061.87,286,0.2091
2025-04-05,华南,美妆,3530.52,85,0.4418
2025-03-02,华东,服饰,4852.05,211,0.4347
2025-01-12,西南,家电,14468.56,256,0.2024
2025-04-18,华北,家电,20638.95,211,0.4476
2025-05-15,华南,数码,7887.24,106,0.3776
2025-03-20,华东,美妆,3307.38,115,0.3392
2025-06-28,华东,食品,1340.87,186,0.4043
2025-05-20,西南,食品,1152.02,123,0.4486
2025-05-29,华南,食品,2883.7,38,0.3024
2025-03-25,华南,服饰,4966.58,105,0.3476
2025-04-22,华北,美妆,3155.28,141,0.2196
2025-02-04,西南,服饰,6633.02,71,0.3948
2025-01-03,西南,美妆,2284.85,60,0.3022
2025-01-13,西南,家电,7618.05,49,0.3111
2025-05-02,华东,数码,7263.86,194,0.3197
2025-08-21,华南,服饰,3399.8,127,0.2583
2025-08-04,西南,美妆,1296.87,245,0.1746
2025-03-03,西南,数码,16182.05,200,0.1542
2025-01-09,西南,数码,5591.49,193,0.1269
2025-02-13,华东,美妆,2627.49,78,0.2723
2025-06-22,西南,服饰,5664.88,192,0.3897
2025-04-29,华南,食品,1864.39,135,0.219
2025-07-16,华北,食品,1086.38,116,0.1598
2025-06-22,西南,数码,9333.68,141,0.1363
2025-03-25,华北,美妆,2248.84,60,0.2282
2025-04-22,华北,美妆,2716.38,160,0.1401
2025-03-06,华东,数码,5207.1,90,0.3722
2025-05-21,华东,服饰,4637.13,46,0.2508
2025-06-15,华北,美妆,4224.53,47,0.1534
2025-04-08,华北,数码,8558.35,288,0.3276
2025-08-25,华北,家电,18392.02,235,0.3283
2025-07-31,华南,食品,2069.19,61,0.3978
2025-02-02,西南,服饰,2471.63,113,0.2809
2025-07-08,华东,数码,15446.29,96,0.4333
2025-01-19,华南,食品,2622.94,156,0.1725
2025-02-03,华南,食品,2804.88,237,0.4489
2025-01-06,西南,美妆,2009.92,259,0.2946
2025-08-14,华南,美妆,1465.49,273,0.2649
2025-07-06,西南,食品,2286.96,262,0.3516
2025-01-22,华东,服饰,4015.74,184,0.2734
2025-08-19,西南,美妆,1296.96,266,0.2425
2025-05-20,华北,服饰,3250.69,67,0.336
2025-07-31,华北,家电,19676.85,161,0.3972
2025-07-18,华南,美妆,4128.25,122,0.1892
2025-04-22,华北,食品,2078.43,196,0.4307
2025-03-31,华北,家电,10836.52,83,0.291
2025-01-17,华北,食品,2799.52,24,0.1569
2025-01-19,西南,服饰,3048.94,134,0.1278
2025-06-24,华东,服饰,6543.23,89,0.3776
2025-06-19,西南,美妆,4806.5,140,0.2772
2025-03-10,华南,家电,14789.34,246,0.3284
2025-02-24,华南,食品,1106.63,295,0.1648
2025-02-17,华东,家电,18223.03,136,0.3664
2025-04-14,西南,数码,5033.47,264,0.2268
2025-07-03,西南,数码,3733.49,211,0.4335
2025-06-17,西南,数码,8122.81,122,0.152
2025-06-26,华北,家电,13684.26,157,0.335
2025-05-10,华北,美妆,1853.31,189,0.3048
2025-01-21,西南,服饰,4706.35,85,0.1833
2025-08-02,西南,家电,9950.76,168,0.1642
2025-03-23,华北,家电,8032.02,38,0.2168
2025-05-03,华东,数码,4662.13,247,0.2388
2025-08-01,华东,美妆,3194.06,38,0.302
2025-03-04,华南,数码,10141.43,239,0.3989
2025-05-08,华东,数码,13796.69,105,0.3335
2025-06-20,华北,数码,15953.09,108,0.4332
2025-08-21,华东,家电,10131.22,186,0.2393
2025-06-01,华东,家电,14536.51,42,0.424
2025-05-04,华南,食品,1186.9,218,0.3771
2025-08-11,华北,食品,3098.21,153,0.4021
2025-04-10,华南,食品,1789.82,159,0.1653
2025-05-31,华南,美妆,2812.99,272,0.4493
2025-07-06,华北,食品,2685.74,281,0.3572
2025-08-13,华北,数码,7164.92,193,0.3843
2025-02-23,西南,服饰,4569.64,91,0.135
2025-04-04,华北,家电,12835.14,45,0.2128
2025-06-07,西南,家电,9793.29,160,0.2124
2025-04-20,华北,食品,2185.02,116,0.4293
2025-04-28,华南,美妆,4515.34,277,0.3883
2025-03-04,华南,服饰,3251.52,93,0.3069
2025-03-05,华南,美妆,3251.48,99,0.1719
2025-06-13,华东,数码,9215.81,105,0.4119
2025-04-10,华北,服饰,1885.93,197,0.4249
2025-08-28,华南,美妆,2749.66,253,0.3282
2025-06-11,华北,食品,2067.4,85,0.1786
2025-01-14,西南,美妆,4260.04,153,0.1874
2025-08-16,华南,数码,14203.19,295,0.3883
2025-02-15,华南,服饰,5600.47,253,0.4278
2025-05-01,西南,美妆,2374.68,60,0.2853
2025-05-07,华北,食品,2593.86,249,0.4469
2025-01-08,华南,服饰,2758.38,60,0.1483
2025-03-06,华南,美妆,3907.55,43,0.1928
2025-05-28,华北,数码,6559.44,287,0.2907
2025-08-25,西南,数码,5546.18,136,0.2234
